,Original Title,Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($)
631,Sunshine Cleaning,Sunshine-Cleaning,"Mar 13, 2009",5000000,12062558,17329337
632,Made,Made,"Jul 13, 2001",5000000,5308707,5476060
633,Moon,Moon,"Jun 12, 2009",5000000,5010163,10676073
634,The Sweet Hereafter,"Sweet-Hereafter,-The","Oct 10, 1997",5000000,4306697,7951247
635,Heavenly Creatures,Heavenly-Creatures,"Nov 16, 1994",5000000,3046086,5438120
636,Light Sleeper,Light-Sleeper,"Sep 21, 1992",5000000,1050861,1050861
637,Sling Blade,Sling-Blade,"Nov 20, 1996",4833610,24475416,34175000
638,Only God Forgives,Only-God-Forgives,"Jul 19, 2013",4800000,775849,4494560
639,Take Shelter,Take-Shelter,"Sep 30, 2011",4750000,1728953,4972016
640,Fast Times at Ridgemont High,Fast-Times-at-Ridgemont-High,"Aug 13, 1982",4500000,27092880,27092880
641,Bound,Bound,"Oct 4, 1996",4500000,3802260,7011317
642,After.Life,After.Life,"Apr 9, 2010",4500000,108596,2481925
643,One Flew Over the Cuckoo's Nest,One-Flew-Over-the-Cuckoo's-Nest,"Nov 19, 1975",4400000,108981275,108997629
644,Lost in Translation,Lost-in-Translation,"Sep 12, 2003",4000000,44585453,117085297
645,Annie Hall,Annie-Hall,"Apr 20, 1977",4000000,38251425,38251425
646,Monster's Ball,Monster's-Ball,"Dec 26, 2001",4000000,31273922,43766463
647,Boyhood,Boyhood,"Jul 11, 2014",4000000,25379975,57273049
648,The Kids Are All Right,"Kids-Are-All-Right,-The","Jul 9, 2010",4000000,20811365,36275469
649,The Visitor,"Visitor,-The","Apr 11, 2008",4000000,9427026,19174817
650,The Cooler,"Cooler,-The","Nov 26, 2003",4000000,8291572,11131455
651,Four Rooms,Four-Rooms,"Dec 25, 1995",4000000,4301000,4301000
652,The Taking of Pelham One Two Three,"Taking-of-Pelham-One-Two-Three,-The","Dec 31, 1974",3800000,0,0
653,Midnight Cowboy,Midnight-Cowboy,"May 25, 1969",3600000,44785053,44785053
654,Gods and Monsters,Gods-and-Monsters,"Nov 6, 1998",3500000,6451628,6451628
655,Margin Call,Margin-Call,"Oct 21, 2011",3400000,5353586,20433227
656,Beginners,Beginners,"Jun 3, 2011",3200000,5790894,14314407
657,Feast,Feast,"Sep 22, 2006",3200000,56131,690872
658,It's a Wonderful Life,It's-a-Wonderful-Life,"Dec 20, 1946",3180000,6600000,10768908
659,Trainspotting,Trainspotting,"Jul 19, 1996",3100000,16501785,71558971
660,Basquiat,Basquiat,"Aug 9, 1996",3000000,2962051,2962051
661,The Wizard of Oz,"Wizard-of-Oz,-The","Aug 25, 1939",2777000,34063405,34305476
662,Timber Falls,Timber-Falls,"Dec 7, 2007",2600000,0,71248
663,Garden State,Garden-State,"Jul 28, 2004",2500000,26782316,36028802
664,The French Connection,"French-Connection,-The","Oct 9, 1971",2200000,41158757,41158757
665,Mad Max 2: The Road Warrior,Mad-Max-2-The-Road-Warrior,"May 21, 1982",2000000,24600832,24600832
666,American Splendor,American-Splendor,"Aug 15, 2003",2000000,6003587,8685632
667,Buried,Buried,"Sep 24, 2010",1987650,1044143,21270290
668,Beasts of the Southern Wild,Beasts-of-the-Southern-Wild,"Jun 27, 2012",1800000,12795746,23265132
669,I Spit on Your Grave,I-Spit-on-Your-Grave,"Oct 8, 2010",1750000,93051,1278471
670,In the Bedroom,In-the-Bedroom,"Nov 23, 2001",1700000,35930604,42137871
671,From Here to Eternity,From-Here-to-Eternity,"Aug 5, 1953",1650000,30500000,30500000
672,Insidious,Insidious,"Apr 1, 2011",1500000,54009150,99870886
673,Kids,Kids,"Jul 21, 1995",1500000,7412216,20412216
674,Repo Man,Repo-Man,"Mar 2, 1984",1500000,2300000,2300000
675,Blood Simple,Blood-Simple,"Jan 18, 1985",1500000,1690913,2730877
676,Killing Zoe,Killing-Zoe,"Aug 31, 1994",1500000,418953,418953
677,The Believer,"Believer,-The","May 17, 2002",1500000,406035,1840248
678,"Lock, Stock and Two Smoking Barrels","Lock,-Stock-and-Two-Smoking-Barrels","Mar 5, 1999",1350000,3897569,28356188
679,The Hebrew Hammer,"Hebrew-Hammer,-The","Dec 19, 2003",1300000,77755,90213
680,Dear White People,Dear-White-People,"Oct 17, 2014",1250000,4404154,5403771
681,Saw,Saw,"Oct 29, 2004",1200000,55968727,103880027
682,Strangers on a Train,Strangers-on-a-Train,"Jul 3, 1951",1200000,7000000,7000000
683,Reservoir Dogs,Reservoir-Dogs,"Oct 23, 1992",1200000,2832029,2832029
684,The Rocky Horror Picture Show,"Rocky-Horror-Picture-Show,-The","Sep 26, 1975",1200000,1414845,1615976
685,Grand Theft Parsons,Grand-Theft-Parsons,"Jun 18, 2004",1200000,0,0
686,Rocky,Rocky,"Nov 21, 1976",1000000,117235147,225000000
687,Taxi Driver,Taxi-Driver,"Feb 8, 1976",1000000,28262574,28316211
688,Hellraiser,Hellraiser,"Sep 18, 1987",1000000,14564000,14575148
689,Blue Valentine,Blue-Valentine,"Dec 29, 2010",1000000,9737892,16566240
690,The Sessions,"Sessions,-The","Oct 19, 2012",1000000,6002451,11495204
691,Martha Marcy May Marlene,Martha-Marcy-May-Marlene,"Oct 21, 2011",1000000,2981038,5438911
692,Frozen River,Frozen-River,"Aug 1, 2008",1000000,2511476,6030129
693,The Battle of Shaker Heights,"Battle-of-Shaker-Heights,-The","Aug 22, 2003",1000000,280351,839145
694,Jimmy and Judy,Jimmy-and-Judy,"Sep 15, 2006",1000000,0,0
695,Fruitvale Station,Fruitvale-Station,"Jul 12, 2013",900000,16098998,17549645
696,American Graffiti,American-Graffiti,"Aug 11, 1973",777000,115000000,140000000
697,Brick,Brick,"Mar 31, 2006",450000,2075743,4243996
698,It Happened One Night,It-Happened-One-Night,"Feb 22, 1934",325000,2500000,2500000
699,Chasing Amy,Chasing-Amy,"Apr 4, 1997",250000,12006514,15155095
700,Pi,Pi,"Jul 10, 1998",68000,3221152,4678513
701,Clerks,Clerks,"Oct 19, 1994",27000,3073428,3894240
