title,imdb_rating,Processed Title,Success_x,n_unique_words_char_1,n_unique_words_char_2,n_unique_words_char_3,n_unique_words_char_4,n_unique_words_char_5,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,tot_sents,tot_pass_sents,passive_ratio_x,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_coref_sents,pct_coref_sents_x,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,fillers_per_sent_char_1,fillers_per_sent_char_2,fillers_per_sent_char_3,fillers_per_sent_char_4,fillers_per_sent_char_5,feels_per_sent_char_1,feels_per_sent_char_2,feels_per_sent_char_3,feels_per_sent_char_4,feels_per_sent_char_5,hw_per_sent_char_1,hw_per_sent_char_2,hw_per_sent_char_3,hw_per_sent_char_4,hw_per_sent_char_5,tot_feel_sents,tot_fill_sents,tot_hw_sents,feel_ratio,fill_ratio,hw_ratio,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean,passive_ratio_y,pct_coref_sents_y,tot_unique_per_sent,tot_stop_per_sent,std_of_overall_polarity,wav_polarity,avg_FK,sign_check_char_mention_polairty,std_of_char_mention_polarity,avg_sim_score,Success_y
Godzilla,6.4,Godzilla,1,496,368,248,268,216,3,1,2,3,5,126,111,87,87,71,0.9994,0.9953,0.9922,-0.9923,-0.9162,597,20,0.03350083752093802,10,2,2,3,3,219,174,98,70,36,"{'neg': 0.054, 'neu': 0.791, 'pos': 0.155, 'compound': 0.9998}","{'neg': 0.093, 'neu': 0.763, 'pos': 0.144, 'compound': 0.9988}","{'neg': 0.064, 'neu': 0.794, 'pos': 0.142, 'compound': 0.9922}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.087, 'neu': 0.86, 'pos': 0.054, 'compound': -0.9162}",0.054000000000000006,0.093,0.064,0.0,0.087,0.155,0.14400000000000002,0.142,0.0,0.054000000000000006,0.9998,0.9988,0.9922,0.0,-0.9162,19,0.031825795644891124,6,9,2,0,2,30,11,0,5,20,8,11,2,4,3,52,39,17,8,4,28,66,120,0.04690117252931323,0.11055276381909547,0.20100502512562812,37.78804060229953,-1.0521249856637114,2.8,-0.7437276343067407,-0.5281629413585271,-0.844011470806739,0.03350083752093802,0.031825795644891124,2.6733668341708543,0.8073701842546064,0.9555496541781592,0.6479768844221104,2.8,0,0.7694532770740534,0.2193380836255096,1
The Matrix,8.7,"Matrix,-The",1,333,566,284,383,290,0,2,1,4,1,100,132,105,114,94,0.6157,0.9945,-0.735,-0.66,-0.9958,965,41,0.04248704663212435,3,14,9,12,3,241,287,183,125,129,"{'neg': 0.13, 'neu': 0.724, 'pos': 0.146, 'compound': 0.7117}","{'neg': 0.082, 'neu': 0.807, 'pos': 0.111, 'compound': 0.9994}","{'neg': 0.113, 'neu': 0.77, 'pos': 0.116, 'compound': -0.8984}","{'neg': 0.109, 'neu': 0.783, 'pos': 0.108, 'compound': -0.8547}","{'neg': 0.176, 'neu': 0.698, 'pos': 0.126, 'compound': -0.9995}",0.13,0.08199999999999999,0.113,0.109,0.17600000000000002,0.146,0.111,0.116,0.108,0.126,0.7117,0.9994,-0.8984,-0.8547,-0.9995,93,0.09637305699481866,14,29,30,8,12,16,3,2,3,3,14,10,12,9,8,35,73,30,30,25,53,27,193,0.054922279792746116,0.02797927461139896,0.2,17.301107084677017,-0.6298064032780685,1.6,0.10348428206211988,-0.0977012969103076,-0.11271988894182533,0.04248704663212435,0.09637305699481866,1.9233160621761656,0.5647668393782384,0.8017096866073156,0.09154611398963733,1.6,0,0.8746436645857557,0.2581133598997608,1
Frozen River,7.2,Frozen-River,1,586,414,160,137,112,1,1,1,3,3,139,116,66,56,45,-0.9979,-0.988,-0.9803,0.905,-0.9203,825,25,0.030303030303030307,13,9,0,2,1,456,266,44,34,25,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.086, 'neu': 0.851, 'pos': 0.063, 'compound': -0.988}","{'neg': 0.119, 'neu': 0.842, 'pos': 0.039, 'compound': -0.9803}","{'neg': 0.072, 'neu': 0.808, 'pos': 0.12, 'compound': 0.905}","{'neg': 0.128, 'neu': 0.81, 'pos': 0.062, 'compound': -0.9203}",0.0,0.086,0.119,0.07200000000000001,0.128,0.0,0.063,0.039,0.12,0.062,0.0,-0.988,-0.9803,0.905,-0.9203,11,0.013333333333333334,0,4,5,1,1,11,0,0,0,0,8,5,0,2,1,87,41,11,11,6,16,11,156,0.019393939393939397,0.013333333333333334,0.1890909090909091,55.83204400893931,-1.3558695045333855,1.8,-1.550596126086608,-0.32426005714621264,-0.844011470806739,0.030303030303030307,0.013333333333333334,1.7078787878787878,0.5115151515151515,0.7511384878968725,-0.9129952727272728,1.8,0,0.7504898917373904,0.2537769047441728,1
Oblivion,7.0,Oblivion,1,1227,871,444,489,133,3,3,2,3,5,181,148,114,125,41,-0.999,0.9578,0.9701,-0.9888,0.9735,1506,62,0.041168658698539175,32,14,6,6,4,728,390,173,174,41,"{'neg': 0.102, 'neu': 0.813, 'pos': 0.085, 'compound': -0.9999}","{'neg': 0.082, 'neu': 0.829, 'pos': 0.088, 'compound': 0.9937}","{'neg': 0.08, 'neu': 0.832, 'pos': 0.088, 'compound': 0.9958}","{'neg': 0.135, 'neu': 0.753, 'pos': 0.112, 'compound': -0.997}","{'neg': 0.04, 'neu': 0.83, 'pos': 0.13, 'compound': 0.9928}",0.102,0.08199999999999999,0.08,0.135,0.04,0.085,0.08800000000000001,0.08800000000000001,0.112,0.13,-0.9999,0.9937,0.9958,-0.997,0.9928,206,0.13678618857901725,49,83,31,39,4,120,62,32,27,2,9,9,1,2,0,166,70,42,32,0,21,243,310,0.013944223107569721,0.16135458167330674,0.2058432934926959,49.31471558120363,1.4947809265697043,3.2,0.9641440066273116,-0.6640981975000702,0.547032299044999,0.041168658698539175,0.13678618857901725,2.1009296148738383,0.4043824701195219,0.9607258243640586,-0.2111822045152723,3.2,0,0.9761470737547696,0.3897509015516541,1
It's Complicated,6.6,It's-Complicated,1,766,614,456,193,184,1,2,2,1,2,163,137,118,68,67,0.9999,0.9998,0.9998,0.9895,0.9583,1240,43,0.03467741935483872,22,10,9,0,2,599,345,193,62,41,"{'neg': 0.065, 'neu': 0.751, 'pos': 0.183, 'compound': 1.0}","{'neg': 0.065, 'neu': 0.765, 'pos': 0.17, 'compound': 1.0}","{'neg': 0.063, 'neu': 0.714, 'pos': 0.223, 'compound': 0.9999}","{'neg': 0.042, 'neu': 0.802, 'pos': 0.156, 'compound': 0.9971}","{'neg': 0.061, 'neu': 0.826, 'pos': 0.113, 'compound': 0.9877}",0.065,0.065,0.063,0.042,0.061,0.183,0.17,0.223,0.156,0.113,1.0,1.0,0.9999,0.9971,0.9877,69,0.055645161290322584,31,21,8,4,5,157,68,37,15,6,23,24,12,1,2,181,90,82,8,16,62,283,377,0.05,0.2282258064516129,0.3040322580645161,46.40992321323096,-0.049930503617781806,1.6,0.21106674763276886,-0.6867540735236607,-0.2716963197820239,0.03467741935483872,0.05564516129032258,1.7846774193548387,0.4459677419354839,0.016085844708935856,0.997961129032258,1.6,1,0.0047516733894492295,0.280832921286328,1
Margin Call,7.1,Margin-Call,1,503,418,513,405,286,2,3,3,3,2,133,112,131,109,102,0.9444,0.9971,0.9606,0.9913,0.8576,846,46,0.05437352245862885,6,7,18,11,4,235,185,221,114,91,"{'neg': 0.117, 'neu': 0.743, 'pos': 0.14, 'compound': 0.9444}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.102, 'neu': 0.786, 'pos': 0.112, 'compound': 0.9606}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.075, 'neu': 0.833, 'pos': 0.091, 'compound': 0.9428}",0.117,0.0,0.102,0.0,0.075,0.14,0.0,0.112,0.0,0.091,0.9444,0.0,0.9606,0.0,0.9428,15,0.01773049645390071,5,0,5,0,5,65,36,48,30,21,7,10,15,8,1,70,62,107,55,23,41,200,317,0.048463356973995265,0.2364066193853428,0.3747044917257683,25.173106991288808,-0.1928691007329225,2.6,0.668292226308027,0.5366632317502266,-0.4147751075382027,0.05437352245862885,0.01773049645390071,2.511820330969268,0.6938534278959809,0.05021031766479871,0.9571393617021275,2.6,0,0.4650854957962031,0.3382298484253733,1
Get Low,7.1,Get-Low,1,840,704,498,455,364,2,2,2,2,2,145,130,111,117,106,0.9875,0.9994,0.9877,-0.6321,0.9992,1367,40,0.029261155815654718,13,7,7,6,7,484,356,236,165,126,"{'neg': 0.101, 'neu': 0.792, 'pos': 0.107, 'compound': 0.9991}","{'neg': 0.1, 'neu': 0.75, 'pos': 0.15, 'compound': 1.0}","{'neg': 0.114, 'neu': 0.752, 'pos': 0.134, 'compound': 0.9992}","{'neg': 0.106, 'neu': 0.788, 'pos': 0.106, 'compound': -0.8501}","{'neg': 0.058, 'neu': 0.765, 'pos': 0.177, 'compound': 0.9999}",0.101,0.1,0.114,0.106,0.058,0.107,0.15,0.134,0.106,0.177,0.9991,1.0,0.9992,-0.8501,0.9999,227,0.16605705925384054,79,57,45,17,29,3,2,0,0,0,16,10,8,5,4,130,107,73,58,38,43,5,406,0.031455742501828816,0.0036576444769568397,0.2970007315288954,35.696007696007705,1.002617347866436,2.0,0.9641440066273116,-0.4148835612405747,1.3101191670779524,0.029261155815654718,0.16605705925384054,2.092904169714704,0.4455010972933431,0.6502410586851618,0.7962226042428675,2.0,0,0.7398600878544537,0.4947107843773639,1
Die Hard,8.2,Die-Hard,1,614,542,355,244,243,2,3,2,2,3,126,119,98,83,78,0.9115,0.8916,-0.9956,0.9903,-0.9027,704,21,0.029829545454545456,5,11,2,1,2,265,199,117,68,55,"{'neg': 0.123, 'neu': 0.737, 'pos': 0.141, 'compound': 0.9905}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.084, 'neu': 0.842, 'pos': 0.075, 'compound': -0.9694}",0.123,0.0,0.0,0.0,0.084,0.141,0.0,0.0,0.0,0.075,0.9905,0.0,0.0,0.0,-0.9694,38,0.05397727272727273,33,0,0,0,5,58,65,23,13,17,7,6,6,0,4,64,52,22,19,27,23,176,184,0.032670454545454544,0.25,0.26136363636363635,35.54606160695053,-0.3991554852059097,2.4,-0.4478758539874561,0.3554162235615025,-0.5419562522103616,0.029829545454545456,0.05397727272727273,2.8380681818181817,0.7159090909090909,0.9222063487094416,0.4548048295454544,2.4,0,0.6197963484887596,0.219304469904904,1
Scream 3,5.6,Scream-3,1,565,299,295,376,565,3,2,2,3,3,131,95,95,105,131,-0.9918,0.9875,-0.9939,-0.9987,-0.9918,849,28,0.03297997644287397,5,6,4,8,5,233,134,132,117,233,"{'neg': 0.139, 'neu': 0.727, 'pos': 0.134, 'compound': -0.9987}","{'neg': 0.114, 'neu': 0.723, 'pos': 0.163, 'compound': 0.9984}","{'neg': 0.125, 'neu': 0.794, 'pos': 0.081, 'compound': -0.9993}","{'neg': 0.184, 'neu': 0.711, 'pos': 0.105, 'compound': -0.9999}","{'neg': 0.139, 'neu': 0.727, 'pos': 0.134, 'compound': -0.9987}",0.139,0.114,0.125,0.184,0.139,0.134,0.163,0.081,0.105,0.134,-0.9987,0.9984,-0.9993,-0.9999,-0.9987,105,0.1236749116607774,30,13,22,10,30,0,1,0,0,0,8,4,2,1,8,57,19,28,32,57,23,1,193,0.0270906949352179,0.001177856301531213,0.2273262661955241,27.774594722119236,-0.23347665673154205,2.6,0.2648579804180933,0.559319107773817,0.5788275852130387,0.03297997644287397,0.1236749116607774,2.4734982332155475,0.6560659599528857,0.7926240082157492,-0.6806790341578328,2.6,0,0.7990201239017701,0.3447246902060837,1
Knocked Up,7.0,Knocked-Up,1,1026,662,470,436,318,1,1,1,1,1,153,132,137,112,94,0.9999,1.0,0.9967,0.9997,0.9963,2562,49,0.01912568306010929,22,11,5,9,2,1050,811,332,242,127,"{'neg': 0.118, 'neu': 0.695, 'pos': 0.187, 'compound': 1.0}","{'neg': 0.101, 'neu': 0.671, 'pos': 0.229, 'compound': 1.0}","{'neg': 0.141, 'neu': 0.682, 'pos': 0.177, 'compound': 0.9992}","{'neg': 0.078, 'neu': 0.714, 'pos': 0.208, 'compound': 1.0}","{'neg': 0.074, 'neu': 0.775, 'pos': 0.15, 'compound': 0.9996}",0.118,0.101,0.141,0.078,0.07400000000000001,0.187,0.229,0.177,0.208,0.15,1.0,1.0,0.9992,1.0,0.9996,85,0.03317720530835285,31,27,10,12,5,22,17,2,5,2,37,24,13,8,4,279,190,66,90,30,86,48,655,0.03356752537080406,0.01873536299765808,0.2556596409055425,43.45298030150469,1.08545676210362,1.0,1.219652362357603,3.3233359826518587,-0.25579867669800405,0.01912568306010929,0.03317720530835285,1.1366120218579234,0.2451209992193599,0.0016569852141766481,0.9993196330991412,1.0,1,0.0003200000000000036,0.27304043118561216,1
Gothika,5.8,Gothika,1,785,497,423,330,272,2,3,4,4,3,151,132,113,103,84,-0.999,0.9931,-0.9932,0.9356,-0.9988,936,45,0.04807692307692308,24,8,5,6,2,493,177,110,80,76,"{'neg': 0.147, 'neu': 0.736, 'pos': 0.117, 'compound': -0.9999}","{'neg': 0.095, 'neu': 0.77, 'pos': 0.135, 'compound': 0.9991}","{'neg': 0.116, 'neu': 0.799, 'pos': 0.085, 'compound': -0.9932}","{'neg': 0.112, 'neu': 0.751, 'pos': 0.137, 'compound': 0.981}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.147,0.095,0.116,0.112,0.0,0.117,0.135,0.085,0.13699999999999998,0.0,-0.9999,0.9991,-0.9932,0.981,0.0,51,0.05448717948717949,24,12,3,12,0,11,7,1,5,1,20,4,6,2,1,118,52,34,22,22,33,25,248,0.035256410256410256,0.026709401709401708,0.26495726495726496,47.70367998292104,0.10275390693702756,3.2,0.6145009935227025,-0.1883248010046696,-0.605546824546441,0.04807692307692308,0.05448717948717949,2.46474358974359,0.6228632478632479,0.9610356280596468,-0.4562404914529916,3.2,0,0.8884564435018748,0.2537418784271165,1
Straight Outta Compton,7.9,Straight-Outta-Compton,1,571,581,606,473,257,1,2,2,3,1,124,132,121,121,99,-0.9991,-0.9993,0.9987,-0.9848,-0.9969,1253,45,0.035913806863527534,11,13,7,10,4,341,348,253,200,111,"{'neg': 0.169, 'neu': 0.696, 'pos': 0.134, 'compound': -0.9999}","{'neg': 0.171, 'neu': 0.693, 'pos': 0.136, 'compound': -1.0}","{'neg': 0.104, 'neu': 0.747, 'pos': 0.149, 'compound': 0.9998}","{'neg': 0.134, 'neu': 0.742, 'pos': 0.124, 'compound': -0.9989}","{'neg': 0.158, 'neu': 0.766, 'pos': 0.076, 'compound': -0.9998}",0.16899999999999998,0.171,0.104,0.134,0.158,0.134,0.136,0.149,0.124,0.076,-0.9999,-1.0,0.9998,-0.9989,-0.9998,120,0.09577015163607344,19,47,24,18,12,15,11,12,12,0,19,10,6,17,4,84,70,77,65,19,56,50,315,0.0446927374301676,0.039904229848363934,0.25139664804469275,25.921653774822456,0.3967526123670329,1.8,0.8027703082713382,4.388162155760613,0.13369357886048253,0.035913806863527534,0.09577015163607344,1.9856344772545893,0.4764565043894653,0.7975079244747353,-0.5932915403032721,1.8,0,0.7997800962764702,0.2999335439501365,1
Machine Gun Preacher,6.8,Machine-Gun-Preacher,0,802,358,295,273,167,1,2,1,1,1,142,117,93,76,60,0.9949,-0.9468,0.9822,0.9973,0.9933,856,43,0.05023364485981308,20,10,9,2,2,459,136,113,88,60,"{'neg': 0.087, 'neu': 0.808, 'pos': 0.105, 'compound': 0.9997}","{'neg': 0.109, 'neu': 0.8, 'pos': 0.091, 'compound': -0.9468}","{'neg': 0.039, 'neu': 0.871, 'pos': 0.09, 'compound': 0.9954}","{'neg': 0.064, 'neu': 0.759, 'pos': 0.177, 'compound': 0.9993}","{'neg': 0.018, 'neu': 0.819, 'pos': 0.163, 'compound': 0.9933}",0.087,0.109,0.039,0.064,0.018000000000000002,0.105,0.091,0.09,0.177,0.163,0.9997,-0.9468,0.9954,0.9993,0.9933,53,0.06191588785046729,13,9,23,6,2,84,31,16,13,6,16,3,5,2,8,93,30,16,20,6,34,150,165,0.0397196261682243,0.17523364485981308,0.1927570093457944,55.67402376910017,-0.5664586159202221,1.2,-0.663040785128754,0.06088983525482593,-0.6214444676304609,0.05023364485981308,0.06191588785046729,2.2137850467289715,0.5700934579439252,0.7755073059617169,0.684863668224299,1.2,0,0.7774937051835211,0.17256445318570907,0
The Last of the Mohicans,7.8,"Last-of-the-Mohicans,-The",1,772,556,425,440,342,3,3,3,3,4,149,123,121,106,82,-0.9989,-0.996,-0.9653,0.9861,-0.9964,855,56,0.06549707602339183,18,16,7,12,3,297,196,153,131,78,"{'neg': 0.133, 'neu': 0.771, 'pos': 0.095, 'compound': -0.9999}","{'neg': 0.126, 'neu': 0.782, 'pos': 0.092, 'compound': -0.9997}","{'neg': 0.121, 'neu': 0.768, 'pos': 0.11, 'compound': -0.994}","{'neg': 0.106, 'neu': 0.764, 'pos': 0.131, 'compound': 0.9861}","{'neg': 0.143, 'neu': 0.798, 'pos': 0.059, 'compound': -0.9998}",0.133,0.126,0.121,0.106,0.14300000000000002,0.095,0.092,0.11,0.131,0.059,-0.9999,-0.9997,-0.994,0.9861,-0.9998,77,0.09005847953216374,34,13,13,2,15,72,41,31,14,17,3,4,7,7,0,64,26,49,20,28,21,175,187,0.02456140350877193,0.2046783625730994,0.21871345029239767,36.71923107815053,0.4730948176444376,3.2,0.5876053771300402,-0.7320658255708418,0.14164240040249246,0.06549707602339183,0.09005847953216374,2.9649122807017543,0.6795321637426901,0.7901966109772934,-0.68786,3.2,0,0.7937831809757624,0.2254194729446655,1
The Martian,8.0,"Martian,-The",1,454,853,509,474,268,3,4,3,4,3,105,134,118,114,71,-0.9144,0.9983,0.9828,-0.8678,-0.8588,974,36,0.03696098562628337,6,12,11,7,0,211,367,175,145,76,"{'neg': 0.063, 'neu': 0.884, 'pos': 0.053, 'compound': -0.9711}","{'neg': 0.098, 'neu': 0.776, 'pos': 0.126, 'compound': 0.9996}","{'neg': 0.071, 'neu': 0.832, 'pos': 0.097, 'compound': 0.9979}","{'neg': 0.091, 'neu': 0.806, 'pos': 0.103, 'compound': 0.9901}","{'neg': 0.056, 'neu': 0.903, 'pos': 0.041, 'compound': -0.9518}",0.063,0.098,0.071,0.091,0.056,0.053,0.126,0.097,0.103,0.041,-0.9711,0.9996,0.9979,0.9901,-0.9518,55,0.05646817248459959,13,11,14,15,2,24,56,19,12,42,1,10,10,0,0,32,102,46,38,17,21,153,235,0.021560574948665298,0.1570841889117043,0.2412731006160164,17.37991723848934,0.5104537691631675,3.4,0.06314085747312652,-0.5055070653349367,0.014461255730333576,0.03696098562628337,0.05646817248459959,2.6262833675564683,0.5564681724845996,0.9167493406597028,0.1584475359342916,3.4,0,0.9589101951694956,0.22702749012239776,1
Wild Hogs,5.9,Wild-Hogs,1,1122,727,588,597,465,2,1,2,1,1,162,138,119,121,114,0.9999,0.9972,0.9986,0.9931,0.9946,2163,54,0.02496532593619972,23,14,6,9,2,857,496,302,289,219,"{'neg': 0.09, 'neu': 0.767, 'pos': 0.143, 'compound': 1.0}","{'neg': 0.11, 'neu': 0.765, 'pos': 0.126, 'compound': 0.9998}","{'neg': 0.085, 'neu': 0.787, 'pos': 0.128, 'compound': 0.9999}","{'neg': 0.09, 'neu': 0.788, 'pos': 0.123, 'compound': 0.9996}","{'neg': 0.114, 'neu': 0.737, 'pos': 0.15, 'compound': 0.9997}",0.09,0.11,0.085,0.09,0.114,0.14300000000000002,0.126,0.128,0.123,0.15,1.0,0.9998,0.9999,0.9996,0.9997,307,0.14193250115580214,129,81,38,37,22,50,13,16,14,9,25,15,12,10,6,178,81,54,49,35,68,102,397,0.03143781784558484,0.04715672676837725,0.18354137771613502,39.89608012061167,2.038922176951206,1.4,1.569295375462212,0.287448595490731,2.6852652938456703,0.02496532593619972,0.14193250115580214,1.6176606564956082,0.30235783633841884,0.0025087048451342443,0.9976541840036984,1.4,1,0.00014142135623729392,0.397249831665826,1
The Perks of Being a Wallflower,8.0,"Perks-of-Being-a-Wallflower,-The",1,664,542,408,300,208,2,2,1,1,2,148,120,111,85,70,0.9999,0.9995,0.9996,0.9812,0.9987,1119,19,0.016979445933869526,6,4,3,6,0,461,260,219,118,61,"{'neg': 0.095, 'neu': 0.705, 'pos': 0.199, 'compound': 1.0}","{'neg': 0.103, 'neu': 0.693, 'pos': 0.204, 'compound': 0.9999}","{'neg': 0.078, 'neu': 0.683, 'pos': 0.239, 'compound': 0.9999}","{'neg': 0.14, 'neu': 0.683, 'pos': 0.177, 'compound': 0.9974}","{'neg': 0.033, 'neu': 0.727, 'pos': 0.24, 'compound': 0.9987}",0.095,0.103,0.078,0.14,0.033,0.199,0.204,0.239,0.177,0.24,1.0,0.9999,0.9999,0.9974,0.9987,113,0.10098302055406612,34,37,28,11,3,45,20,7,7,6,21,10,4,5,4,161,54,37,32,16,44,85,300,0.03932082216264522,0.07596067917783736,0.2680965147453083,46.58166934011837,-0.19774200745275688,1.6,-0.04444160809752245,-0.25629242907544114,0.014461255730333576,0.016979445933869526,0.10098302055406612,1.8963360142984809,0.4772117962466488,0.007300794477315494,0.9977109919571046,1.6,1,0.0010107423014794788,0.28667507963380706,1
Alien,8.5,Alien,1,708,566,360,409,373,2,2,2,4,3,142,132,105,106,84,0.9987,0.9828,-0.71,-0.9558,0.9214,1062,48,0.04519774011299435,17,11,7,8,5,406,256,146,111,143,"{'neg': 0.078, 'neu': 0.806, 'pos': 0.115, 'compound': 0.9999}","{'neg': 0.091, 'neu': 0.804, 'pos': 0.106, 'compound': 0.9977}","{'neg': 0.114, 'neu': 0.767, 'pos': 0.119, 'compound': -0.8263}","{'neg': 0.105, 'neu': 0.796, 'pos': 0.099, 'compound': -0.9558}","{'neg': 0.102, 'neu': 0.774, 'pos': 0.124, 'compound': 0.9727}",0.078,0.091,0.114,0.105,0.102,0.115,0.106,0.119,0.099,0.124,0.9999,0.9977,-0.8263,-0.9558,0.9727,20,0.018832391713747645,7,5,5,1,2,58,21,12,17,17,10,6,4,3,1,154,92,61,54,49,24,125,410,0.02259887005649717,0.11770244821092278,0.3860640301318267,38.937425612195796,0.27980285109100866,2.6,0.4262316787740668,-0.5055070653349367,-0.8519602923487489,0.04519774011299435,0.018832391713747645,2.274952919020716,0.5357815442561206,0.8858719826250291,0.5452687382297551,2.6,0,0.9225304409069652,0.4950084140897764,1
He's Just Not That Into You,6.4,He's-Just-Not-That-Into-You,1,602,426,360,345,342,2,1,1,1,2,146,133,112,107,104,0.9999,0.9997,0.9992,0.9992,0.9966,1051,33,0.03139866793529972,14,3,6,3,7,334,205,177,168,167,"{'neg': 0.074, 'neu': 0.744, 'pos': 0.182, 'compound': 1.0}","{'neg': 0.056, 'neu': 0.742, 'pos': 0.202, 'compound': 0.9999}","{'neg': 0.105, 'neu': 0.68, 'pos': 0.215, 'compound': 0.9992}","{'neg': 0.061, 'neu': 0.748, 'pos': 0.191, 'compound': 0.9999}","{'neg': 0.127, 'neu': 0.691, 'pos': 0.182, 'compound': 0.9988}",0.07400000000000001,0.056,0.105,0.061,0.127,0.182,0.202,0.215,0.191,0.182,1.0,0.9999,0.9992,0.9999,0.9988,28,0.02664129400570885,11,3,1,7,6,18,2,1,4,4,18,8,6,5,9,148,71,52,47,52,46,29,370,0.04376784015223597,0.027592768791627018,0.3520456707897241,37.20178372352285,-0.27408421273016154,1.4,0.8700093492529938,-0.23363655305185066,-0.5737515383784013,0.03139866793529972,0.02664129400570885,1.9743101807802093,0.5727878211227403,0.0011923086848630985,0.9991068506184588,1.4,1,0.0004758150901348127,0.2839298859785861,1
August: Osage County,7.2,August-Osage-County,1,789,906,355,326,354,2,3,2,3,3,154,157,109,106,107,-0.9989,0.9957,-0.9084,0.9968,0.7341,1311,44,0.033562166285278416,8,23,5,4,4,445,521,138,108,99,"{'neg': 0.149, 'neu': 0.738, 'pos': 0.113, 'compound': -0.9997}","{'neg': 0.116, 'neu': 0.759, 'pos': 0.125, 'compound': 0.9995}","{'neg': 0.089, 'neu': 0.825, 'pos': 0.086, 'compound': -0.9084}","{'neg': 0.065, 'neu': 0.78, 'pos': 0.155, 'compound': 0.9968}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.149,0.116,0.08900000000000001,0.065,0.0,0.113,0.125,0.086,0.155,0.0,-0.9997,0.9995,-0.9084,0.9968,0.0,33,0.02517162471395881,8,22,2,1,0,43,58,6,16,2,17,19,5,3,7,133,161,33,37,42,51,125,406,0.03890160183066362,0.09534706331045004,0.3096872616323417,31.472959610557538,0.788209452193725,2.6,1.3003392115355896,0.7405661159625411,-0.1604128181938849,0.033562166285278416,0.02517162471395881,2.082379862700229,0.482837528604119,0.9178968146801688,0.09856620900076282,2.6,0,0.8735725833609936,0.3892942875967334,1
Pineapple Express,7.0,Pineapple-Express,1,756,811,368,145,171,1,1,1,1,2,145,154,106,63,69,-0.9667,-0.9998,-0.999,-0.9665,-0.9703,1560,40,0.02564102564102564,21,13,6,0,0,637,641,181,52,49,"{'neg': 0.14, 'neu': 0.715, 'pos': 0.145, 'compound': -0.9976}","{'neg': 0.199, 'neu': 0.652, 'pos': 0.149, 'compound': -1.0}","{'neg': 0.21, 'neu': 0.661, 'pos': 0.13, 'compound': -0.9999}","{'neg': 0.118, 'neu': 0.8, 'pos': 0.082, 'compound': -0.9899}","{'neg': 0.135, 'neu': 0.803, 'pos': 0.062, 'compound': -0.9977}",0.14,0.199,0.21,0.118,0.135,0.145,0.149,0.13,0.08199999999999999,0.062,-0.9976,-1.0,-0.9999,-0.9899,-0.9977,146,0.0935897435897436,65,48,15,12,6,76,48,24,5,0,20,17,2,2,1,156,196,40,9,5,42,153,406,0.026923076923076925,0.09807692307692308,0.2602564102564103,40.511030065824585,0.01179298150011986,1.2,-0.004098183508529089,4.863935552256012,0.17343768657053218,0.02564102564102564,0.0935897435897436,1.4429487179487182,0.34423076923076923,0.015525540248249032,-0.9841547435897436,1.2,-1,0.003705887208213443,0.31758094325981145,1
